phi_rad,SP,LP,LD,T22,T26
-3.141592653589793,0.00019634925456757423,0.0028208142969927135,0.0014997680654257333,-0.004295898269084996,0.007324031689690647
-3.129026282975434,0.00024127345587173396,0.002865738498296873,0.001544692266729893,-0.004250974067780837,0.0073689558909948065
-3.1164599123610746,0.0002861905631237299,0.002910655605548869,0.001589609373981889,-0.004206056960528841,0.007413872998246802
-3.1038935417467157,0.00033109348339162975,0.002955558525816769,0.0016345122942497887,-0.004161154040260941,0.007458775918514703
-3.0913271711323564,0.0003759751259837952,0.0030004401684089344,0.0016793939368419542,-0.004116272397668775,0.007503657561106868
-3.078760800517997,0.00042082840356857487,0.0030452934459937143,0.001724247214426734,-0.004071419120083995,0.007548510838691648
-3.066194429903638,0.00046564623329348247,0.0030901112757186215,0.0017690650441516415,-0.004026601290359088,0.0075933286684165555
-3.053628059289279,0.000510421537903658,0.003134886580328797,0.001813840348761817,-0.003981825985748913,0.007638103973026731
-3.0410616886749198,0.0005551472468594549,0.003179612289284594,0.001858566057717614,-0.003937100276793115,0.007682829681982528
-3.0284953180605605,0.0005998162974529507,0.00322428133987809,0.0019032351083111097,-0.00389243122619962,0.0077274987325760235
-3.015928947446201,0.0006444216359232365,0.0032688866783483757,0.0019478404467813955,-0.003847825887729334,0.00777210407104631
-3.0033625768318424,0.0006889562185702849,0.003313421260995424,0.001992375029428444,-0.0038032913050822857,0.007816638653693357
-2.990796206217483,0.0007334130128672378,0.003357878055292377,0.0020368318237253967,-0.003758834510785333,0.00786109544799031
-2.978229835603124,0.0007777849985709145,0.0034022500409960537,0.0020812038094290735,-0.003714462525081656,0.007905467433693988
-2.9656634649887645,0.0008220651688303961,0.0034465302112555354,0.002125483979688555,-0.0036701823548221744,0.007949747603953469
-2.9530970943744057,0.0008662465312934851,0.0034907115737186243,0.002169665342151644,-0.0036260009923590854,0.007993928966416559
-2.9405307237600464,0.000910322109210885,0.0035347871516360242,0.002213740920069044,-0.0035819254144416855,0.008038004544333958
-2.927964353145687,0.0009542849425379009,0.00357874998496304,0.0022577037533960597,-0.00353796258111467,0.008081967377660974
-2.915397982531328,0.000998128089033517,0.003622593131458656,0.0023015468998916757,-0.003494119434619054,0.00812581052415659
-2.9028316119169686,0.0010418446253566559,0.003666309667781795,0.002345263436214815,-0.0034504028982959146,0.008169527060479728
-2.8902652413026098,0.0010854276481594522,0.0037098926905845915,0.0023888464590176113,-0.0034068198754931183,0.008213110083282524
-2.8776988706882505,0.0011288702751773782,0.003753335317602517,0.002432289086035537,-0.0033633772484751925,0.00825655271030045
-2.865132500073891,0.0011721656463160235,0.0037966306887411627,0.0024755844571741825,-0.003320081877336547,0.008299848081439095
-2.8525661294595324,0.0012153069247343876,0.0038397719671595266,0.0025187257355925464,-0.003276940598918183,0.00834298935985746
-2.839999758845173,0.0012582872979245018,0.003882752340349641,0.002561706108782661,-0.0032339602257280687,0.008385969733047574
-2.827433388230814,0.0013010999787871934,0.003925565021212333,0.0026045187896453527,-0.003191147544865377,0.008428782413910266
-2.8148670176164545,0.0013437382067038545,0.0039682032491289935,0.0026471570175620133,-0.0031485093169487163,0.008471420641826927
-2.8023006470020952,0.0013861952486040182,0.0040106602910291575,0.0026896140594621773,-0.0031060522750485523,0.008513877683727092
-2.7897342763877364,0.0014284644000285898,0.004052929442453729,0.002731883210886749,-0.0030637831236239805,0.008556146835151662
-2.777167905773377,0.0014705389861885629,0.004095004028613702,0.0027739577970467217,-0.003021708537464008,0.008598221421311636
-2.764601535159018,0.0015124123630190368,0.004136877405444176,0.002815831173877196,-0.0029798351606335335,0.008640094798142109
-2.7520351645446586,0.001554077918228399,0.004178542960653538,0.002857496729086558,-0.0029381696054241718,0.008681760353351472
-2.7394687939302997,0.0015955290723424773,0.004219994114767617,0.0028989478832006366,-0.002896718451310093,0.00872321150746555
