condition,SCN_D_period_h,SCN_V_period_h,release_gap_h,mean_gap_h,mean_tau_D_h,target_exvivo_scn_period_h,target_gap_h
SP,24.0,24.0,-0.02282463261960988,0.018168923436573083,24.01486035109682,23.97,0.49
LP,23.496503496503497,23.57894736842105,0.08246165414911642,0.8682145088936732,23.77636144917329,23.59,1.08
LD,23.745583038869256,23.745583038869256,0.028870977320331788,0.43906609481923214,23.895816748692475,23.7,0.58
T22,24.888888888888893,24.70588235294118,-0.021888102773139805,-1.298390456868804,24.4343926713928,24.5,-2.08
T26,22.779661016949156,23.013698630136986,0.09752273639113203,2.2287336968423515,23.37798332396324,22.83,2.43
