condition,context,behaviour_period_h,SCN_D_period_h,SCN_V_period_h,systemic_X_period_h,release_gap_h,mean_gap_h,mean_tau_D_h,mean_tau_X_h,schedule_mem_D,schedule_mem_X,target_behaviour_h,target_exvivo_scn_period_h,target_gap_h
SP,in_vivo,24.0,24.0,24.0,24.0,-0.02282463261960988,-0.00599261613955491,24.01486035109682,24.188280405128783,-0.009621880632533044,-0.029485469333737968,23.97,,
LP,in_vivo,23.661971830985912,23.661971830985912,23.661971830985912,23.661971830985912,0.08246165414911642,0.06560550746687338,23.77636144917329,23.44283895231112,0.0316232807781804,-0.0007421928000690625,23.59,,
LD,in_vivo,23.829787234042556,23.829787234042556,23.829787234042556,23.829787234042556,0.028870977320331788,0.030135830180933146,23.895816748692475,23.79989471368675,0.01115158182582577,-0.01424248779395548,23.7,,
T22,in_vivo,23.252595155709344,23.252595155709344,23.252595155709344,23.252595155709344,-0.021888102773139805,0.06308428421523772,24.4343926713928,21.83448860549296,-0.08159967582305246,0.06633028285405507,22.83,,
T26,in_vivo,24.347826086956523,24.347826086956523,24.347826086956523,24.347826086956523,0.09752273639113203,0.014871937626977926,23.37798332396324,25.769972477646487,0.10006532304030542,-0.09738383447662241,24.5,,
