mechanism,perturbation_percent,mean_abs_gap_change_h,max_abs_gap_change_h,mean_abs_D_period_change_h,mean_abs_V_period_change_h,locking_status_changes,lock_to_no_lock,no_lock_to_lock,comparisons
adaptive period,5.0,0.0564978042239333,0.13295971120760752,0.02506685828176707,0.01697106640577637,0,0,0,10
adaptive period,50.0,0.4936936752291963,1.1331259136570082,0.26928684414023785,0.22950805240390187,2,1,1,10
adaptive period,100.0,1.0976436746193419,2.6920824161144363,0.4803834978980969,0.4418001404389013,3,1,2,10
adaptive coupling,5.0,0.0753690371698553,0.5157194693343032,0.016434938550733236,0.025996772974133008,0,0,0,10
adaptive coupling,50.0,0.3786527698427281,1.9860516295212591,0.09883478043333263,0.09546050898037635,2,0,2,10
adaptive coupling,100.0,0.4704156378476975,1.9837503810420205,0.18204450839524605,0.09546050898037635,2,0,2,10
