mechanism,adaptive_gain_scale,adaptive_gain_value,selected_coupling_memory_gain_rad_h,condition,D_period_h,V_period_h,mean_DV_period_h,mean_gap_h,mean_tau_D_h,mean_K_effective_rad_h,mean_gap_rad,delta_omega_rad_h,K_effective_rad_h,locking_ratio,phase_lock_possible,fractional_change,percent_change,D_period_change_h,V_period_change_h,mean_DV_period_change_h,gap_change_h,baseline_phase_lock_possible
adaptive period,0.0,0.0,-0.484,SP,23.829787234042556,23.914590747330962,23.87218899068676,0.2032407553702561,23.959188627026233,0.0035750484417668123,0.053208305331769734,0.0008042915614839274,0.0035750484417668123,0.22497361212997755,True,-1.0,-100.0,-0.1702127659574444,-0.08540925266903798,-0.1278110093132412,0.18507183193368304,True
adaptive period,0.0,0.0,-0.484,LP,23.829787234042556,23.914590747330962,23.87218899068676,0.2534270195179179,23.959188627026233,0.0035750484417668123,0.06634703856155401,0.0008042915614839274,0.0035750484417668123,0.22497361212997755,True,-1.0,-100.0,0.33328373753905893,0.3356433789099107,0.3344635582244848,-0.614787489375755,True
adaptive period,0.0,0.0,-0.484,LD,23.829787234042556,23.914590747330962,23.87218899068676,0.22744960940778475,23.959188627026233,0.0035750484417668123,0.05954616849811371,0.0008042915614839274,0.0035750484417668123,0.22497361212997755,True,-1.0,-100.0,0.08420419517329947,0.16900770846170587,0.12660595181750267,-0.21161648541144723,True
adaptive period,0.0,0.0,-0.484,T22,23.829787234042556,23.914590747330962,23.87218899068676,0.24784876131460656,23.959188627026233,0.0035750484417668123,0.06488665397894151,0.0008042915614839274,0.0035750484417668123,0.22497361212997755,True,-1.0,-100.0,-1.0591016548463372,-0.791291605610219,-0.9251966302282781,1.5462392181834095,False
adaptive period,0.0,0.0,-0.484,T26,23.829787234042556,23.914590747330962,23.87218899068676,0.21865382195464586,23.959188627026233,0.0035750484417668123,0.05724343672767051,0.0008042915614839274,0.0035750484417668123,0.22497361212997755,True,-1.0,-100.0,1.0501262170933998,0.9008921171939761,0.975509167143688,-2.0100798748877056,False
adaptive period,0.05,0.39972355534009324,-0.484,SP,23.829787234042556,23.914590747330962,23.87218899068676,0.1950454698727813,23.961647220274443,0.0035750484417668123,0.05106278460569159,0.0007773837871707934,0.0035750484417668123,0.21744706395827332,True,-0.95,-95.0,-0.1702127659574444,-0.08540925266903798,-0.1278110093132412,0.1768765464362082,True
adaptive period,0.05,0.39972355534009324,-0.484,LP,23.829787234042556,23.829787234042556,23.829787234042556,0.2782981286235514,23.9517143927262,0.0035750484417668123,0.0728582796992947,0.0008861263312990308,0.0035750484417668123,0.2478641466634509,True,-0.95,-95.0,0.33328373753905893,0.2508398656215043,0.2920618015802816,-0.5899163802701215,True
adaptive period,0.05,0.39972355534009324,-0.484,LD,23.829787234042556,23.914590747330962,23.87218899068676,0.236166224896973,23.956569197560782,0.0035750484417668123,0.061828173096863774,0.0008329656648847217,0.0035750484417668123,0.23299423167342165,True,-0.95,-95.0,0.08420419517329947,0.16900770846170587,0.12660595181750267,-0.20289986992225897,True
adaptive period,0.05,0.39972355534009324,-0.484,T22,23.914590747330962,23.914590747330962,23.914590747330962,0.18100550347062785,23.979359845394068,0.0035750484417668123,0.04738712999688719,0.0005836931871349149,0.0035750484417668123,0.16326860926294187,True,-0.95,-95.0,-0.9742981415579308,-0.791291605610219,-0.8827948735840749,1.4793959603394309,False
adaptive period,0.05,0.39972355534009324,-0.484,T26,23.829787234042556,23.829787234042556,23.829787234042556,0.2977438376265606,23.935392846510435,0.0035750484417668123,0.07794915441160291,0.0010650072444595149,0.0035750484417668123,0.29790008773508575,True,-0.95,-95.0,1.0501262170933998,0.8160886039055697,0.9331074104994848,-1.9309898592157908,False
