gphi_d,gp_d,weighted_sse
-3.1401263880436137,-0.2917893751323245,365.5952403233274
-3.035959721376947,-0.2917893751323245,340.2305978081518
-2.93179305471028,-0.2917893751323245,318.04411516450085
-2.8276263880436137,-0.2917893751323245,311.12313258448535
-2.723459721376947,-0.2917893751323245,284.8079952120548
-2.61929305471028,-0.2917893751323245,268.10748958996174
-2.5151263880436137,-0.2917893751323245,251.60290500027443
-2.4109597213769467,-0.2917893751323245,235.22273846874597
-2.30679305471028,-0.2917893751323245,217.96933079949503
-2.2026263880436137,-0.2917893751323245,204.84769593365888
-2.0984597213769467,-0.2917893751323245,196.33477911968973
-1.9942930547102802,-0.2917893751323245,184.77851915579805
-1.8901263880436137,-0.2917893751323245,174.66421321888498
-1.785959721376947,-0.2917893751323245,169.6961440199657
-1.6817930547102802,-0.2917893751323245,163.11861047140485
-1.5776263880436137,-0.2917893751323245,160.64678488118284
-1.473459721376947,-0.2917893751323245,156.7396197160889
-1.3692930547102802,-0.2917893751323245,152.7956505280122
-1.2651263880436137,-0.2917893751323245,146.2240993300818
-1.160959721376947,-0.2917893751323245,145.94940373512085
-1.0567930547102802,-0.2917893751323245,148.63838291309196
-0.9526263880436137,-0.2917893751323245,146.93645777427466
-0.8484597213769467,-0.2917893751323245,148.24281118282104
-0.7442930547102802,-0.2917893751323245,151.71980671293733
-0.6401263880436137,-0.2917893751323245,155.04182618583923
-3.1401263880436137,-0.26262270846565783,334.24033432757983
-3.035959721376947,-0.26262270846565783,306.74410103966295
-2.93179305471028,-0.26262270846565783,290.1228766996479
-2.8276263880436137,-0.26262270846565783,280.82484376399486
-2.723459721376947,-0.26262270846565783,261.3992755686176
-2.61929305471028,-0.26262270846565783,239.90327278542475
-2.5151263880436137,-0.26262270846565783,222.1062398971084
-2.4109597213769467,-0.26262270846565783,211.3266048748853
-2.30679305471028,-0.26262270846565783,196.95324963611122
-2.2026263880436137,-0.26262270846565783,183.11442166664898
-2.0984597213769467,-0.26262270846565783,171.73602551828805
-1.9942930547102802,-0.26262270846565783,164.55556342488927
-1.8901263880436137,-0.26262270846565783,157.51427105051644
-1.785959721376947,-0.26262270846565783,152.5710834510761
-1.6817930547102802,-0.26262270846565783,143.74756037586374
-1.5776263880436137,-0.26262270846565783,141.89676035568132
-1.473459721376947,-0.26262270846565783,139.29248406619726
-1.3692930547102802,-0.26262270846565783,137.95851234193262
-1.2651263880436137,-0.26262270846565783,131.37518735136186
-1.160959721376947,-0.26262270846565783,130.63577872655404
-1.0567930547102802,-0.26262270846565783,131.75510547518854
-0.9526263880436137,-0.26262270846565783,133.69826058324452
-0.8484597213769467,-0.26262270846565783,135.2668872307361
-0.7442930547102802,-0.26262270846565783,139.19536269516055
-0.6401263880436137,-0.26262270846565783,144.88513223193004
-3.1401263880436137,-0.23345604179899118,307.07034834451065
-3.035959721376947,-0.23345604179899118,278.88946227605226
-2.93179305471028,-0.23345604179899118,257.3267839364809
-2.8276263880436137,-0.23345604179899118,254.06461643187632
-2.723459721376947,-0.23345604179899118,235.46319970961721
-2.61929305471028,-0.23345604179899118,218.1661245055104
-2.5151263880436137,-0.23345604179899118,196.93615957730867
-2.4109597213769467,-0.23345604179899118,187.00353972247157
-2.30679305471028,-0.23345604179899118,172.0650153057004
-2.2026263880436137,-0.23345604179899118,163.27826041041394
-2.0984597213769467,-0.23345604179899118,156.27560753737953
-1.9942930547102802,-0.23345604179899118,143.00102385023453
-1.8901263880436137,-0.23345604179899118,138.54858819470772
-1.785959721376947,-0.23345604179899118,133.68126098957845
-1.6817930547102802,-0.23345604179899118,129.77064747447187
-1.5776263880436137,-0.23345604179899118,124.98890292028493
