condition,tau_D_h,tau_V_h,delta_omega_rad_h,K_effective_rad_h,fixed_point_ratio,phase_locked_possible
SP,24.01486035109682,24.032896157458122,0.0001963492545675738,0.0035750484417668114,0.05492212420778745,True
LP,23.77636144917329,24.032896157458122,0.002820814296992713,0.0035750484417668114,0.7890282727466061,True
LD,23.895816748692475,24.032896157458122,0.0014997680654257328,0.0035750484417668114,0.41950985835720256,True
T22,24.4343926713928,24.032896157458122,-0.004295898269084997,0.0035750484417668114,-1.2016335831695575,False
T26,23.37798332396324,24.032896157458122,0.0073240316896906466,0.0035750484417668114,2.0486524333838294,False
