coupling_memory_gain_rad_h,weighted_gap_SSE
-0.5,49.041018458221586
-0.496,47.56527236829064
-0.492,46.233786161610524
-0.488,45.049430244235964
-0.484,43.79884601021741
-0.48,43.93514936120591
-0.476,44.50977157882431
-0.472,45.10949172306613
-0.46799999999999997,45.73263509923658
-0.46399999999999997,46.3775417384268
-0.46,47.04257202510363
-0.456,47.726111966560765
-0.452,48.42657807216998
-0.448,49.1424218173424
-0.444,49.872133673802246
-0.44,50.61424669486509
-0.436,51.367339650537936
-0.432,52.13003971352981
-0.428,52.90102470288193
-0.424,53.679024896626125
-0.42,54.462824429552875
-0.416,55.25126229570108
-0.41200000000000003,56.043232977977006
-0.40800000000000003,56.837686730108416
-0.404,57.63362953740503
-0.4,58.43012278412813
-0.396,59.22628265576326
-0.392,60.021279304606665
-0.388,60.814335806607616
-0.384,61.60472693684579
-0.38,62.391777789823564
-0.376,63.17486226962666
-0.372,63.95340147347632
-0.368,64.72686199057097
-0.364,65.49475413654469
-0.36,66.25663014206523
-0.356,67.01208231234607
-0.352,67.76074117268851
-0.348,68.50227361353318
-0.344,69.23638104668738
-0.33999999999999997,69.96279758319804
-0.33599999999999997,70.68128824159666
-0.33199999999999996,71.39164719406325
-0.32799999999999996,72.09369605682578
-0.324,72.78728222988009
-0.32,73.47227729023409
-0.316,74.14857544172612
-0.312,74.81609202396993
-0.308,75.47476208188213
-0.304,76.12453899684694
-0.3,76.76539317995775
-0.296,77.39731082718319
-0.292,78.02029273599939
-0.28800000000000003,78.63435318270977
-0.28400000000000003,79.23951885911573
-0.28,79.8358278673871
-0.276,80.42332877133093
-0.272,81.00207970243189
-0.268,81.57214751877399
-0.264,82.13360701482807
-0.26,82.68654018019026
-0.256,83.23103550511395
-0.252,83.7671873308419
-0.248,84.29509524262821
-0.244,84.81486350342857
-0.24,85.32660052619508
-0.236,85.83041838291344
-0.23199999999999998,86.32643234823304
-0.22799999999999998,86.8147604760612
-0.22399999999999998,87.29552320713626
-0.21999999999999997,87.76884300587889
-0.21599999999999997,88.23484402485107
-0.21199999999999997,88.69365179517015
-0.20800000000000002,89.1453929413729
-0.20400000000000001,89.59019491918556
-0.2,90.02818577487179
-0.196,90.45949392472036
-0.192,90.88424795350656
-0.188,91.30257643061334
-0.184,91.71460774274544
-0.18,92.12046994209328
-0.176,92.52029060898565
-0.172,92.91419672802051
-0.16799999999999998,93.30231457675241
-0.16399999999999998,93.68476962614923
-0.15999999999999998,94.0616864519301
-0.15599999999999997,94.43318865608686
-0.15199999999999997,94.79939879784254
-0.14800000000000002,95.16043833339708
-0.14400000000000002,95.51642756384533
-0.14,95.86748559064667
-0.136,96.21373027813372
-0.132,96.5552782225291
-0.128,96.89224472699803
-0.124,97.2247437822914
-0.12,97.55288805254796
-0.11599999999999999,97.8767888658995
-0.11199999999999999,98.19655620945454
-0.10799999999999998,98.51229872841506
-0.10399999999999998,98.82412372891923
-0.09999999999999998,99.13213718438226
-0.09599999999999997,99.43644374502833
-0.09199999999999997,99.73714675039355
-0.08799999999999997,100.03434824453544
-0.08399999999999996,100.32814899375263
-0.08000000000000002,100.61864850661536
-0.07600000000000001,100.90594505610616
-0.07200000000000001,101.19013570373048
-0.068,101.47131632540393
-0.064,101.74958163900783
-0.06,102.02502523344302
-0.055999999999999994,102.29773959911795
-0.05199999999999999,102.56781615966759
-0.04799999999999999,102.83534530492608
-0.043999999999999984,103.10041642493351
-0.03999999999999998,103.3631179449822
-0.035999999999999976,103.62353736160537
-0.03199999999999997,103.88176127939974
-0.02799999999999997,104.13787544869834
-0.023999999999999966,104.39196480394585
-0.020000000000000018,104.64411350281782
-0.016000000000000014,104.89440496597405
-0.01200000000000001,105.14292191744741
-0.008000000000000007,105.38974642563446
-0.0040000000000000036,105.63495994482236
0.0,105.87864335728176
0.0040000000000000036,106.12087701588267
0.008000000000000007,106.36174078722016
0.01200000000000001,106.6013140952297
0.016000000000000014,106.83967596531605
0.020000000000000018,107.0769050689641
0.02400000000000002,107.31307976884077
0.028000000000000025,107.54827816440358
0.03200000000000003,107.78257813799061
0.03600000000000003,108.01605740145402
0.040000000000000036,108.24879354329182
0.04400000000000004,108.4808640763254
0.04800000000000004,108.71234648594204
0.052000000000000046,108.9433182789005
0.05600000000000005,109.17385703273537
0.06000000000000005,109.40404044579938
0.06400000000000006,109.6339463879205
0.06800000000000006,109.86365295177083
0.07200000000000006,110.09323850490696
0.07600000000000007,110.32278174257578
0.07999999999999996,110.55236174127069
0.08399999999999996,110.78205801309815
0.08799999999999997,111.0119505609992
0.09199999999999997,111.24211993483576
0.09599999999999997,111.4726472884104
0.09999999999999998,111.70361443745384
0.10399999999999998,111.93510391860347
0.10799999999999998,112.16719904945859
0.11199999999999999,112.39998398970954
0.11599999999999999,112.63354380343864
0.12,112.86796452260235
0.124,113.10333321175803
0.128,113.33973803409695
0.132,113.57726831882692
0.136,113.8160146299466
0.14,114.05606883649097
0.14400000000000002,114.29752418428197
0.14800000000000002,114.54047536924818
0.15200000000000002,114.78501861236924
0.15600000000000003,115.03125173629614
0.16000000000000003,115.27927424372366
0.16400000000000003,115.52918739753162
0.16800000000000004,115.78109430280412
0.17200000000000004,116.0350999907311
0.17600000000000005,116.2913115044899
0.18000000000000005,116.54983798713292
0.18400000000000005,116.81079077154092
0.18800000000000006,117.07428347252241
0.19200000000000006,117.34043208104
0.19600000000000006,117.60935506070055
0.20000000000000007,117.88117344648057
0.20399999999999996,118.15601094574914
0.20799999999999996,118.43399404166149
0.21199999999999997,118.71525209888713
0.21599999999999997,118.99991747177478
0.21999999999999997,119.28812561490034
0.22399999999999998,119.58001519608257
0.22799999999999998,119.87572821181124
0.23199999999999998,120.17541010513258
0.236,120.47920988597023
0.24,120.78728025381318
0.244,121.099777722814
0.248,121.41686274917309
0.252,121.73869986080379
0.256,122.06545778915445
0.26,122.39730960312573
0.264,122.73443284491503
